name,website,companyLogo,description,funding,founded,headquarteredIn,geographicalFocus,typeOfWork,category,requiresDigitalAudience,applicationRequired,remoteWork,minimumAge,equipmentQualSkills,requirements,averageEarnings,timeToFirstDollar,numPeopleMakingMoney,profitModel,profitModelDescription,platformPricing,affiliateLink,founderMessage,founderName,founderTwitter,email,Notes,Signup Link
Instacart,https://www.instacart.com/,,Shop and deliver groceries to customers' doors or work as an hourly in-store shopper preparing orders.,Public Company,2012,,,Personal Shopper,Gig (work on your own time),No ,Yes,No,18,"Smartphone (with data),Car",,,,750000,Free,,,https://shoppers.instacart.com/?utm_campaign=become_a_shopper&utm_medium=referral&utm_source=instacart_referral&utm_term=3e2ef740-7abd-489c-9f5c-805c5aba7eb0,,,,,Base $7–10 per order (2020); $13/hour for in-store shoppers,
Epihub,https://www.epihub.com,,Easily set up and manage your own tutoring service,$0.125M,2020,,,Teacher,SMB (creation of a business),Yes,No,Yes,,Computer (with internet connection),A teaching business,,,,Free,,,,"Epihub helps tutoring, training, and coaching businesses schedule, teach classes, and bill students all in one SaaS tool. Epihub is built by a diverse team of teachers, tutors, and hackers trying to help educators start, build, and grow their business in one place.",Uday Singh,https://twitter.com/udayrsingh,,,
Cambly,https://www.cambly.com/,,Help students from all over the world learn English.,Bootstrapped,2012,,,Teacher,Gig (work on your own time),No,Yes,Yes,,Computer (with internet connection),"Native English speake, Bachelor’s degree or prior teaching experience
",,,,Free  ,,,,,,,,Average of $10.20/hour teaching adults and $12.00/hour teaching children,
Outschool,https://outschool.com/,,Teach remote classes on topics you are passionate about and experienced with for learners up to age 18.,$55M,2015,,"North America, Europe, Australia",Teacher,Gig (work on your own time),No,No,Yes,18,Computer (with internet connection),Design your own curriculum and courses,8000,,1000,Percentage Take Rate,30,,https://outschool.com/teach?signup=true&usid=WqyByztN&utm_campaign=share_invite_link&teacherReferral=true,,,,,,
VIPKid,http://vipkid.com/,,"Teach English to children in China, online, on your schedule, and all from home.",$1.1B,2013,,North America,Teacher,Gig (work on your own time),No,Yes,Yes,,"Computer (with internet connection), Bachelors Degree","Webcam, 2+ years of teaching experience, and work authorization in North America",2880,,"100,000",Free,,,,,,,,,
Playbook,https://www.playbookapp.io/,,"Offer your fitness, health or wellness content on a mobile marketplace to generate subscription revenue.",$12.3M,2017,,,Fitness Instructor,SMB (creation of a business),Yes,Yes,Yes,13,Smartphone (with data),,,,150,Percentage Take Rate,20,,,,,,,"Set your own price, some people making 1M+",
Anchor,https://anchor.fm/,,"Create, distribute, and monetize your podcast through sponsorships or listener support— all in one platform.",Acquired by Spotify,2015,,North America,"Podcaster, Audio Content Creator",SMB (creation of a business),Yes,No,Yes,,Computer (with internet connection),"Bank account in the US, equipment to produce audio is nice to have",,,,Percentage Take Rate,30,,,,,,,,
Castbox,castbox.fm,,Host a premium channel on Castbox to provide audio content exclusively to paid listeners through one-time purchases or monthly and annual subscriptions.,$29.7M,2016,,,"Podcaster, Audio Content Creator",SMB (creation of a business),Yes,No,Yes,,Computer (with internet connection),Equipment to produce audio is nice to have,,,,Free,,,,,,,,,
Knowable,https://knowable.fyi/,,Showcase and monetize your unique expertise in a catalog of hand-picked audio courses.,$4M,2013,,,Audio Content Creator,SMB (creation of a business),Yes,Yes,Yes,,Computer (with internet connection),Expertise in a specific field turned into a course,,,200,Free,,,,,,,,,https://knowable.fyi/create
Simple Habit,https://www.simplehabit.com/,,"Create content to help people reduce stress, sleep better and live happier",$12.6M,2016,,,Audio Content Creator,Gig (work on your own time),No,Yes,Yes,18,Smartphone (with data),"Appropriate technology to record content, credentials/expert knowledge in the field you wish to specialize your content.",,,160,Free,,,,,,,,,https://docs.google.com/forms/d/e/1FAIpQLSd3GK73DdcTP74A5TQu5eEaHBj13ahi6ggqEvlRuop0q2dC-Q/viewform
Spoon,https://company.spoonradio.co/,,Broadcast live audio content and earn money in gifts from listeners.,$59.6M,2013,,,Audio Content Creator,Gig (work on your own time),Yes,No,Yes,18,Smartphone (with data),,,,,Free,,,,,,,,,
Tingles,https://gettingles.com/,,Create a wide variety of videos that help people relieve anxiety and fall asleep (ASMR).,$0.1M,2017,,,Audio Content Creator,Gig (work on your own time),No,Yes,Yes,18,Smartphone (with data),,,,1500,Free,,,,,,,,,
Ghost,https://ghost.org/,,"Turn your audience into a business as an independent creator using memberships and subscriptions to generate predictable, recurring revenue.",$7.3M,2013,,,Writer,SMB (creation of a business),Yes,No,Yes,,Computer (with internet connection),,,,,Other,,Plans range from $9 - 199/month,,,,,,,https://my.ghost.org/signup/?_ga=2.117151238.1095392071.1604581766-1297709214.1604581766
Medium,https://medium.com/,,"Write about what matters to you, build an audience, and earn money when members read your stories.",$132M,2011,,,Writer,SMB (creation of a business),"No, however one would be helpful",No,Yes,,Computer (with internet connection),,,,1000,Free,,,,,,,,,
Revue,https://www.getrevue.co/,,"Share newsletters and monetize loyal audiences using digital subscriptions, sponsoring, ads or other business models.",Acquired by Twitter,2015,,,Writer,SMB (creation of a business),Yes,No,Yes,13,Computer (with internet connection),,1500,,30000,Other,,"Free for the first 50 subscribers, pricing increases as subs increase. 6% transaction fee.",,,,,,,
Substack,https://substack.com/,,"Start a newsletter, build your community, and make money from subscriptions.",$17.4M,2017,,,Writer,SMB (creation of a business),Yes,No,Yes,,Computer (with internet connection),,,,,Percentage Take Rate,10,,,,,,,,
CreativeLive,https://www.creativelive.com/,,Teach live classes on what you're passionate about in CreativeLive's online classroom,$58.3M,2010,,,Video Course Creator,SMB (creation of a business),No,Yes,Yes,,Computer (with internet connection),,,,650,Free,,,,,,,,,https://www.creativelive.com/teach
Kajabi,https://kajabi.com/,,Sell your knowledge about any subject matter to others in an all-in-one platform.,Bootstrapped,2009,,,"Video Course Creator, Teacher",SMB (creation of a business),Yes,No,Yes,16,Computer (with internet connection),A class to teach,,,"50,000",Other,,Plans range from $119 to $399/month + Stripe fees,,,,,,,
Podia,https://www.podia.com/,,"Sell online courses, webinars, downloads, and memberships without worrying about the tech.

",$3.1M,2014,,,"Video Course Creator, Teacher",SMB (creation of a business),Yes,No,Yes,16,Computer (with internet connection),,,,20000,Other,,Plans range from $39-$79/month + Stripe fees,,"We built Podia to be the easiest way for digital creators to turn their passion into income. Podia replaces 4+ tools for many creators by letting you host and sell your courses, downloads, webinars, and memberships in one place. Plus, with our built-in site editor, email marketing platform, live messaging widget and affiliate management tools, you won't need to rely on a bunch of separate apps held together with Zapier and duct tape; your whole business is in one place!",Spencer Fry,https://twitter.com/spencerfry,,,https://www.podia.com/signup
Skillshare,https://www.skillshare.com/,,Offer online learning courses for creative fields and earn money through royalties and referrals programs.,$116.8M,2010,,,"Video Course Creator, Teacher",SMB (creation of a business),Yes,No,Yes,,Computer (with internet connection),A class to teach,,,6000,Free,,,,,,,,,https://www.skillshare.com/teach
Teachable,https://teachable.com/,,Create and sell an online course or coaching businesses with a powerful yet simple all-in-one platform.,$12.5M,2013,,,"Video Course Creator, Teacher",SMB (creation of a business),Yes,No,Yes,18,Computer (with internet connection),A class to teach,,,20000,Other,,"$29-$299/month. Cheapest plan has 5% transaction fee, other plans have 0%.",,,,,,,
Thinkific,https://www.thinkific.com/,,Create and sell online courses and membership sites under your own brand.,Acquired by Hotmart,2012,,,"Video Course Creator, Teacher",SMB (creation of a business),Yes,No,Yes,,Computer (with internet connection),,,,"50,000",Other,,Plans range from free to 399/month,,,,,,,
Udemy,https://www.udemy.com/,,Create online video courses and earn money by teaching people around the world on the largest global learning provider.,$223M,2010,,,"Video Course Creator, Teacher",SMB (creation of a business),Yes,No,Yes,,Computer (with internet connection),A class to teach,30,,57000,Other,,Different revenue share plans that range from 97% to 25% revenue share for instructors,,,,,,,https://www.udemy.com/teaching/?ref=teach_header
EasyUpp,https://easyupp.com/,,"Sell from thousands of local vehicles and dozens of brands (any dealership), all on your own time.",Bootstrapped,2019,,,Salesperson,Gig (work on your own time),No,No,Yes,,Computer (with internet connection),Ability or knowledge of vehicles,,,750,Free,,,,,,,,Flat $400 per sale,https://easyupp.com/register/salesperson
Qwick,https://www.qwick.com/,,Get connected to on-demand service industry positions such as food and beverage shifts in real-time.,$6.1M,2017,,,Restaurant Worker,Gig (work on your own time),No,No,No,18,"Smartphone (with data), Bank Account","Prior experience in the food & beverage industry, attending an in-person orientation, and either a food handlers card or alcohol awareness certificate, depending on shift preference",3040,,4600,Free,,,,,,,,,https://www.qwick.com/professionals/
HireClub,https://hireclub.com/,,Help people grow their careers by using your experience and knowledge to coach members for success. This may include everything from resume reviews to mock interviews and practice salary negotiations.,$0.5M,2017,,,Coach,Gig (work on your own time),No,Yes,Yes,,Computer (with internet connection),Prior experience coaching is nice to have,8000,,190,Free,,,,"I started HireClub as a community to help people succeed in their careers. Now, we've raised salaries for our clients by over $2,500,000 and helped coaches do what they do best. It's important to me that people from all places and all levels of their career can find success at work",Ketan Anjaria,https://twitter.com/kidbombay,,,https://hireclub.com/join
MentorPass,https://www.mentorpass.co/,,Mentor top aspiring entrepreneurs and founders while turning your knowledge into impact and income.,Bootstrapped,2020,,,Coach,Gig (work on your own time),No,Yes,Yes,18,Computer (with internet connection),,8000-10000,,100,Free,,,,"I was stuck in the Wantrepreneur mindset for many years, afraid of leaving my comfortable consulting job and the chance of failure. My whole network was corporate, too. They didn’t understand the entrepreneur’s way. I was stuck, until I met Anne, a successful founder who challenged me, guided me, and helped me believe in myself. Now MentorPass helps Wantrepreneurs go from idea to product-market fit fast, without giving up 7% equity or a $200k+ student loan.",Kenny Hanson,https://twitter.com/NoCodeKenny,,,
Lyft,https://www.lyft.com/,,Drive passengers to their desired destinations.,Public Company,2012,,,Driver,Gig (work on your own time),No,No,No,21,,"Driving experience, a valid driver's license, proof of residence and vehicle insurance (if using own car)",1760,,1400000,Other,,"Platform fees are dynamic, average around 35%",,,,,,,
Uber,https://www.uber.com/,,Drive passengers to their desired destinations.,Public Company,2009,,,Driver,Gig (work on your own time),No,No,No,21,,"Driving experience, a valid driver's license, proof of residence and vehicle insurance (if using own car)",1760,,3000000,Other,,"Platform fees are dynamic, average around 35%",,,,,,,
Upwork,https://www.upwork.com/,,Offer your professional talents and skills in an on-demand freelance marketplace.,Public Company,1999,,,Tasks and Services,Gig (work on your own time),No,No,No,,Computer (with internet connection),"Skill/expertise in an area recognized by Upwork (including but not limited to mobile/web dev, design, writing, accounting, admin support, etc).",2400,,800000,Other,,Sliding service fee based on lifetime billings with each client (starting at 20% down to 5%),,,,,,,
Fiverr,https://www.fiverr.com/,,Offer your creative and professional services in a freelance marketplace.,Public Company,2010,,,Tasks and Services,Gig (work on your own time),No,No,No,,Computer (with internet connection),,,,830000,Free,,,,,,,,"Sellers can offer services at a price range of $5-$10,000",https://www.fiverr.com/start_selling
99 Designs,https://99designs.com/,,"Participate in freelance design work by getting hired to work directly with clients or submit your concepts to Design Contest competitions. You choose the industries, styles, and design categories you want to work in.",$45M,2008,,,Tasks and Services,Gig (work on your own time),No,No,No,18,Computer (with internet connection),,,,1000000,Other,,"$100 introduction fee on new clients spread out over the client’s first $500 in charges, platform fee from 5 to 15%",,,,,,,https://99designs.com/designers
Wonolo,http://wonolo.com/,,"Find gig work for a variety of frontline jobs, including warehouse operations, general labor, delivery drivers, food production, event staffing, washing & cleaning, administrative, and merchandising.",$52.9M,2014,"San Francisco, CA",North America,Tasks and Services,Gig (work on your own time),No,No,Yes,18,"Smartphone (with data), Bank Account",Valid social security number or business EIN,1920,,300000,Free,,,,,,,,,https://www.wonolo.com/find-work
Popshop Live,https://popshoplive.com/,,Connect with shoppers while live-streaming to sell your products in real-time.,$4.5M,2016,,,"Livestreamer, Ecommerce",SMB (creation of a business),Yes,Yes,Yes,,,iOS device and products to sell,,,,Other,,"Small setup service fee and payment processing fee, with tiered service fees as your business grows",,,,,,,https://popshoplive.com/
Stream Club,http://stream.club/,,"Stream is a browser-based, all-in-one streaming platform that allows you to receive gifts and respond to your audience anywhere",$2.1M,2020,,,Livestreamer,Gig (work on your own time),Yes,Yes,Yes,18,Computer (with internet connection),,,,,Other,,Two plans: one free and one $20/month,,,,,,,
Shopify,https://www.shopify.com/,,Transform any existing website or blog into an online store and grow your e-commerce business.,Public Company,2006,,,"Salesperson, Ecommerce",SMB (creation of a business),Yes,No,Yes,18,Computer (with internet connection),"Products to sell, shipping infrastructure/appropriate technologies to run your digital store at scale",,,1000000,Other,,Plans range from $29 to $299/month,,,,,,,
Twitch,https://www.twitch.tv/,,"Grow your livestreaming audience and earn money through donations, brand partnerships, subscriptions and more.",Acquired by Amazon,2007,,,Livestreamer,SMB (creation of a business),Yes,No,Yes,13,Computer (with internet connection),"Technology for streaming (webcam, microphone, lighting) is nice to have",3000-5000,,750000,Other,,Twitch takes 50% of all subscriptions and 29% of all donations,,,,,,,
Epal,https://www.epal.gg/,,Earn money while gaming by offering to play with others at a fee.,$2M,2017,,,Gamer,SMB (creation of a business),Yes,Yes,Yes,18,Computer (with internet connection),,,,,Other,,10% commission fee + $0.25 fee is charged per transaction. Max withdrawal is is $50 at a time.,,,,,,,https://www.epal.gg/becomeepal/
Metafy,https://metafy.gg/,,"Monetize your gaming talent with 1:1 coaching. Set your price, availability, and share your URL. ",$3.2M,2020,,,Gamer,SMB (creation of a business),Yes,Yes,Yes,18,Computer (with internet connection),"Experience in game of choosing, past accolades are very nice to have",,,,Free,,,,,,,,,https://form.typeform.com/to/Wr6mNRlH
Instawork,https://www.instawork.com/,,"Businesses post shifts for positions they need (warehouse, custodial, delivery, etc.), up to a few hours in advance. Then, you accept shifts that fit their availability and Instawork handles the paperwork, insurance, and payments.",$28M,2015,,,Tasks and Services,Gig (work on your own time),No,Yes,No,18,Smartphone (with data),,2880,,,Free   ,,,,,,,,,https://www.instawork.com/worker
Airbnb,https://www.airbnb.com/,,"Rent out properties in an online community marketplace for people to list, discover, and book accommodations. Alternatively, offer unique (currently online) cultural activities. ",Public Company,2008,,,Rentals,SMB (creation of a business),No,No,Yes,,"Computer (with internet connection), Smartphone (with data)",Property or experience to list,924,,2900000,Other,,"3% take rate in most cases, 20% for Experiences",,,,,,,https://www.airbnb.com/host/homes
Etsy,etsy.com,,Set up an online store to sell creative items on the Etsy marketplace.,Public Company,2005,,,Ecommerce,SMB (creation of a business),No,No,Yes,18,"Computer (with internet connection), Smartphone (with data)","Handmade, vintage, and one-of-a-kind products.",500-10000,,2500000,Other,,"It costs $0.20 to publish a listing to the marketplace. Once an item sells, there is a 5% transaction fee on the sale price (including the shipping price). If you accept payments through Etsy Payments, there is also a 3% + $0.25 payment processing fee.",,,,,,,https://www.etsy.com/sell?ref=ftr
Wag,https://wagwalking.com/,,Walk other people's dogs for pay.,$361.5M,2014,"Los Angeles, CA",North America,Pet Caretaker,Gig (work on your own time),No,Yes,No,18,"Smartphone (with data), Background Check",Legal authorization to work in the United States. Prior dog experience is very nice to have!,2560,,50000,Percentage Take Rate,40,,,,,,,,https://wagwalking.com/dog-walker
Rover,https://www.rover.com/,,Offer dog walking or overnight boarding services and get paid to take care of other people's pets.,$310.9M,2011,,,Pet Caretaker,Gig (work on your own time),No,No,No,18,"Smartphone (with data), Background Check",,1000,,100000,Percentage Take Rate,20,,,,,,,,https://www.rover.com/become-a-sitter/
Shef,https://shef.com/,,"Sell authentic, homemade dishes to your neighbors and make a meaningful income from home.",$8.8M,2019,,,Chef,SMB (creation of a business),No,Yes,Yes,,Computer (with internet connection),A food safety certification process is required for all Shefs,4000,,2000,Percentage Take Rate,25,,,,,,,,https://shef.com/become-a-shef
Foodnome,https://foodnome.com/,,Start a home restaurant and sell your home-cooked food through an easy-to-use digital ordering system.,$1.1M,2017,,,Chef,SMB (creation of a business),No,Yes,Yes,,Computer (with internet connection),"Once accepted, MEKHO permit and Food Manager's Certificate required (Foodnome helps navigate this process).",,,,Free,,,,,,,,,https://foodnome.com/start-your-home-restaurant
CookUnity,https://www.cookunity.com/,,"Work as an independent chef to create healthy, flavorful meals for food lovers.",$7.9M,2015,,,Chef,SMB (creation of a business),No,Yes,Yes,,Computer (with internet connection),,2720,,50,Free,,,,,,,,,https://www.cookunity.com/become-a-chef
TaskRabbit,https://www.taskrabbit.com/,,"From home repairs to errands, get paid to help others complete a range of tasks.",$37.7M,2008,,,Tasks and Services,Gig (work on your own time),No,No,No,18,"Smartphone (with data), Background Check, Bank Account",Valid U.S. Social Security number,3200,,60000,Free,,,,,,,,,https://www.taskrabbit.com/become-a-tasker
Tales,https://taleswriter.com/publish/,,"Publish your book in a re-imagined way, app-centered way, with new text formats, sounds, visual effects, and interactive storytelling. Your story can feel similar to a traditional book, complex game or anything in between.",Bootstrapped,2018,,,Writer,SMB (creation of a business),No,No,Yes,13,Computer (with internet connection),,,,,Other,,100% ownership with 35% royalty rate or sponsored publishing with 75% ownership and 25% royalty rate,,,,,,,https://taleswriter.com/register/
Hipcamp,https://www.hipcamp.com/,,"Host campers, glampers, RVers, and outdoor enthusiasts on your private land to earn extra monthly income.",$40.5 M,2013,,,Rentals,SMB (creation of a business),No,No,Yes,,"Computer (with internet connection), Smartphone (with data)",A flat piece of land and access to the great outdoors,1000,,,Percentage Take Rate,10,,,,,,,,https://www.hipcamp.com/host
Neighbor,https://www.neighbor.com/,,Open up your home's empty space to allow folks in your direct / larger neighborhood to store their things!,$65.7M,2017,,,"Rentals,Tasks and Services",SMB (creation of a business),No,No,Yes,18,Computer (with internet connection),Available space in your property to rent out,,,,Percentage Take Rate,4.9,,,,,,,,https://www.neighbor.com/host
Tidze,https://tidze.com,tidze.jpg (https://dl.airtable.com/.attachments/3053c522927739fcc5e373b83a4dc4c9/c52d9685/tidze.jpg),"Tidze is a streaming platform built for performers & creators. Create a personalised channel, stream high quality live & pre-recorded content, earn money from tickets and grow a global audience.",Bootstrapped,2020,,,Livestreamer,Creator (monetize audience and fans),Yes,No,Yes,,"Computer (with internet connection), Microphone",Computer should have webcam,3000,,10,Other,,Free account + $2 service fee per ticket sold,https://tidze.com/register?ref=shs,,,,,,
Mighty Networks,https://www.mightynetworks.com/,Mighty Networks logo 1500x1500.jpg (https://dl.airtable.com/.attachments/4402a117921b1af286ed0c78210fd37c/a5ca6366/MightyNetworkslogo1500x1500.jpg),"Mighty Networks exists to unlock millions of unique, vibrant, colorful communities led by brands and creators mastering something interesting or important together. We offer the only community platform available that allows you to run your community and online courses, content, video, events, memberships, and digital subscriptions together in one place, under your brand, and instantly available on web, iOS, and Android apps. ",$11M,2017,"Palo Alto, CA",Worldwide,"Coach,Community Leader,Content Creator",Creator (monetize audience and fans),"No, however one would be helpful",No,Yes,,Computer (with internet connection),,,,8000,Other,,"Free and paid plans — paid plans are monthly or annual (https://www.mightynetworks.com/pricing). We also take a transaction fee if Hosts charge for communities, courses, etc. ",,"A Mighty Network is easy to learn and your members will love it. We’ve tripled the number of creators launching and growing their own Mighty Network in one year and, even better, grew the volume of member subscriptions and payments run through Mighty over 460% annually. More than the ease of generating money, thought we’re most proud of the amazing feedback we get from our customers –– from “this community is life-affirming” to “my Mighty Network is pure gold” and “I didn’t know building something like this was possible.” We believe every creator should have their own community that gets more valuable to every member with each new person who joins.",Gina Bianchini,https://twitter.com/ginab,jane@mightynetworks.com,,
Honeycommb,www.honeycommb.com,honeycommb-mark-red-gradient.png (https://dl.airtable.com/.attachments/9ebf50f82d8b3906fd3feb3ca6aaa18e/8b16415c/honeycommb-mark-red-gradient.png),"Honeycommb is a community platforms for brands, organizations and creators. We've built an extremely customizable membership platform that enables creators to monetize their community by creating a fully-branded social network verticalized around their subject. ",Bootstrapped,2016,,,Community Leader,Creator (monetize audience and fans),Yes,No,Yes,,Computer (with internet connection),A community (or plans to build one!),,,,Subscription Fee,89,,,,,,,,
Column/,joincolumn.com,column-logo.png (https://dl.airtable.com/.attachments/b62b3b2bc6ddb2639b2df492e847a3a1/25a1b0a4/column-logo.png),Build communities full-time.,$1.4M,2019,,,Community Leader,Creator (monetize audience and fans),Yes,No,Yes,,"Computer (with internet connection),Smartphone (with data)",A community (or plans to build one!),,,,Percentage Take Rate,40,,,,,,,,
Onyx,https://onyx.tv,1024.png (https://dl.airtable.com/.attachments/fd2b44188a14b48dbe357b8a52d13d43/0f6d7fb5/1024.png),Monetize livestreams through app install sponsorships.,$0.5M,2018,,,Livestreamer,Creator (monetize audience and fans),Yes,No,Yes,,"Computer (with internet connection),Smartphone (with data)","Twitch livestream in English with minimum 2,000 followers.",500,,1000,Free,,,,,,,andrew@onyx.tv,,
Freelancer Club,freelancerclub.net,Freelancer Club Logo.jpg (https://dl.airtable.com/.attachments/b4d186edc5ed494d84656bdf8147b692/44f87871/FreelancerClubLogo.jpg),"A community platform for creative freelancers to develop their business skills, access paid job opportunities and get paid doing what they love. ",Bootstrapped,2015,"London, UK",Europe,Tasks and Services,Freelance / project-based work,No,No,No,16,Computer (with internet connection),An ability to provide service at a professional standard,,,,Other,,Plans range from free to £11.66/month,"Freelancer Club is a members club founded on the principles of Ethical Hiring. We believe in fair rates of pay, diversity and inclusion. We do not post unpaid work on the site and we actively champion good practices. Much more than just a jobs board, Freelancer Club nurtures talent and helps companies connect with leading content creators in an ethical manner.  ",,,,matt@thefreelancerclub.co.uk,,freelancerclub.net/register
BrandArmy,https://www.brandarmy.com/,,"Platform providing tools and features for creators to invite, engage, and monetize their exclusive or unique content with superfans.",$1M,2021,"Dallas, TX",North America,"Content Creator, Coach",SMB (creation of a business),Yes,Yes,Yes,13,"Computer (with internet connection),Smartphone (with data)",,16000,1,25,Percentage Take Rate,15,,,"BrandArmy is a superfan's dream. We help bring creators and superfans closer than ever before. Creators have a robust platform that allows for unlimited income potential with features giving them ways to engage and monetize in a mainstream environment that's brand-safe for their superfans. We focus on working with creators with existing well-engaged fan bases. We are a pro-creator platform where talent has full control of their data, audience, and creative - there is no algorithm; some of them are already earning up to $16k/month.",Ramon Mendez,https://twitter.com/MrBrandArmy,lol@brandarmy.com,,
